,name,country,eu_group,national_group,twitter,facebook,instagram,linkedin,email,Website,website,e-mail
197490,Magdalena Adamowicz,Poland,Group of the European People's Party (Christian Democrats),Independent,Adamowicz_Magda,adamowicz.magdalena,adamowicz_magda,,magdalena.adamowicz@europarl.europa.eu,https://adamowiczmagdalena.pl,,
189525,Asim Ademov,Bulgaria,Group of the European People's Party (Christian Democrats),Citizens for European Development of Bulgaria,AdemovAsim,AdemovAsim,ademovasim,,asim.ademov@europarl.europa.eu,http://asim-ademov.eu/,,
124831,Isabella Adinolfi,Italy,Group of the European People's Party (Christian Democrats),Forza Italia,Isa_Adinolfi,,,,isabella.adinolfi@europarl.europa.eu,,,
197826,Matteo Adinolfi,Italy,Identity and Democracy Group,Lega,,MatteoAdinolfiLega,,,matteo.adinolfi@europarl.europa.eu,,,
197403,Alex Agius Saliba,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,,alexagiussaliba,,,alex.agiussaliba@europarl.europa.eu,,,
198096,Mazaly Aguilar,Spain,European Conservatives and Reformists Group,VOX,,,,mazaly-aguilar,mazaly.aguilar@europarl.europa.eu,,,
125045,Clara Aguilera,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,,,,,,,,
204335,Alviina Alametsä,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,alviinaalametsa,alviinavaaleissa,alviinaalametsa,,alviina.alametsa@europarl.europa.eu,https://www.alviina.fi/,,
197836,Alexander Alexandrov Yordanov,Bulgaria,Group of the European People's Party (Christian Democrats),Union of Democratic Forces,,,,,alexander.yordanov@europarl.europa.eu,http://www.alexanderyordanov.com/,,
96750,François Alfonsi,France,Group of the Greens/European Free Alliance,Régions et Peuples Solidaires,,,,,francois.alfonsi@europarl.europa.eu,,,
197848,Atidzhe Alieva-Veli,Bulgaria,Renew Europe Group,Movement for Rights and Freedoms,,,,,atidzhe.alieva-veli@europarl.europa.eu,,,
197400,Abir Al-Sahlani,Sweden,Renew Europe Group,Centerpartiet,abiralsahlani,abirtillbryssel,abiralsahlani,abiralsahlani,abir.alsahlani@europarl.europa.eu,http://www.abiralsahlani.se,,
197746,Álvaro Amaro,Portugal,Group of the European People's Party (Christian Democrats),Partido Social Democrata,,,,,,,,
197783,Andris Ameriks,Latvia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Gods kalpot Rīgai,AndrisAmeriks,Andris.Ameriks,,,andris.ameriks@europarl.europa.eu,,,
197475,Christine Anderson,Germany,Identity and Democracy Group,Alternative für Deutschland,,,,,,,,
197448,Rasmus Andresen,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,RasmusAndresen,AndresenRasmus,gruenrasmus,,rasmus.andresen@europarl.europa.eu,,,
204332,Barry Andrews,Ireland,Renew Europe Group,Fianna Fáil Party,,,,,barry.andrews@europarl.europa.eu,,,
113892,Eric Andrieu,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti socialiste,Eric_Andrieu,ericandrieu,,,eric.andrieu@europarl.europa.eu,,,
197691,Mathilde Androuët,France,Identity and Democracy Group,Rassemblement national,,elsa.vassent,,,mathilde.androuet@europarl.europa.eu,,,
125110,Nikos Androulakis,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,PASOK-KINAL,androulakisnick,androulakisnikosgr,androulakisnick,,nikos.androulakis@europarl.europa.eu,http://www.nikos.vote/,,
202073,Marc Angel,Luxembourg,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti ouvrier socialiste luxembourgeois,marcangel_lu,MarcAngelLuxembourg,marcangelluxembourg,,marc.angel@europarl.europa.eu,,,
124973,Gerolf Annemans,Belgium,Identity and Democracy Group,Vlaams Belang,,,,,gerolf.annemans@europarl.europa.eu,,,
124696,Andrus Ansip,Estonia,Renew Europe Group,Eesti Reformierakond,Ansip_EU,,,,andrus.ansip@europarl.europa.eu,,,
197587,Attila Ara-Kovács,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Demokratikus Koalíció,,,,,attila.ara-kovacs@europarl.europa.eu,,,
124936,Maria Arena,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti Socialiste,,,,,,,,
96808,Pablo Arias Echeverría,Spain,Group of the European People's Party (Christian Democrats),Partido Popular,,,,,pablo.ariasecheverria@europarl.europa.eu,,,
24922,Pascal Arimont,Belgium,Group of the European People's Party (Christian Democrats),Christlich Soziale Partei,pascal_arimont,pascalarimont.official,pascalarimontmep,,pascal.arimont@europarl.europa.eu,https://pascal-arimont.eu/,,
197492,Bartosz Arłukowicz,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska,,,,,,,,
197701,Konstantinos Arvanitis,Greece,The Left group in the European Parliament - GUE/NGL,Coalition of the Radical Left,,arvanitis.kostas,karvanitis16,,kostas.arvanitissyriza@gmail]tod[com:otliam.eu,,,
197695,Anna-Michelle Asimakopoulou,Greece,Group of the European People's Party (Christian Democrats),Nea Demokratia,,,,,,,,
197533,Manon Aubry,France,The Left group in the European Parliament - GUE/NGL,La France Insoumise,manonaubryfr,ManonAubryFR,manonaubryfr,,manon.aubry@europarl.europa.eu,,,
28161,Margrete Auken,Denmark,Group of the Greens/European Free Alliance,Socialistisk Folkeparti,,,,,,,,
124766,Petras Auštrevičius,Lithuania,Renew Europe Group,Lietuvos Respublikos liberalų sąjūdis,petras_petras,PetroAustreviciausbiuras,,,petras.austrevicius@europarl.europa.eu,http://www.austrevicius.lt,,
197651,Carmen Avram,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat,,,,,carmen-gabriela.avram@europarl.europa.eu,,,
197781,Malik Azmani,Netherlands,Renew Europe Group,Volkspartij voor Vrijheid en Democratie,MalikAzmani,MalikAzmaniVVD,,,malik.azmani@europarl.europa.eu,,,
197789,Simona Baldassarre,Italy,Identity and Democracy Group,Lega,,,,,simona.baldassarre@europarl.europa.eu,,,
197495,Marek Paweł Balt,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sojusz Lewicy Demokratycznej,poselbalt,baltmarek,marek_balt,,marekpawel.balt@europarl.europa.eu,http://marekbalt.info,,
131580,Jordan Bardella,France,Identity and Democracy Group,Rassemblement national,,,,,,,,
197433,Katarina Barley,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,KATARINABARLEY,katarina.barley,katarina.barley,,katarina.barley@europarl.europa.eu,,,
197684,Pernando Barrena Arza,Spain,The Left group in the European Parliament - GUE/NGL,EH BILDU,,,,,,,,
197808,Pietro Bartolo,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,,,,,pietro.bartolo@europarl.europa.eu,,,
197671,Traian Băsescu,Romania,Group of the European People's Party (Christian Democrats),Partidul Mișcarea Populară,tbasescu,PresedinteleTraianBasescu,,,traian.basescu@europarl.europa.eu,,,
197610,Alessandra Basso,Italy,Identity and Democracy Group,Lega,,alessandrabassoMEP,,,alessandra.basso@europarl.europa.eu,,,
197779,José Ramón Bauzá Díaz,Spain,Renew Europe Group,Ciudadanos – Partido de la Ciudadanía,,,,,,,,
